bucket,filename,size_bytes,url
brazil_farm1,212_15_L_20230808_T_145408-left.mp4,5349643,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/212_15_L_20230808_T_145408-left.mp4
brazil_farm1,241_10_L_20230825_M_81654-left.mp4,4269089,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/241_10_L_20230825_M_81654-left.mp4
brazil_farm1,241_15_L_20230808_T_142517-left.mp4,2099841,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/241_15_L_20230808_T_142517-left.mp4
brazil_farm1,241_30_L_20230830_M_84418-left.mp4,4328392,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/241_30_L_20230830_M_84418-left.mp4
brazil_farm1,244_30_L_20230831_M_85726-left.mp4,4021872,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/244_30_L_20230831_M_85726-left.mp4
brazil_farm1,245_22_L_20230824_M_73307-left.mp4,6742993,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/245_22_L_20230824_M_73307-left.mp4
brazil_farm1,245_27_L_20230830_M_72953-left.mp4,3157709,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/245_27_L_20230830_M_72953-left.mp4
brazil_farm1,250_15_L_20230808_T_143847-left.mp4,2033719,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/250_15_L_20230808_T_143847-left.mp4
brazil_farm1,252_24_L_20230825_M_74150-left.mp4,5413857,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/252_24_L_20230825_M_74150-left.mp4
brazil_farm1,252_29_L_20230824_M_74809-left.mp4,5345126,https://object-arbutus.cloud.computecanada.ca/awp-public-compressed-20260109-8427/brazil_farm1/good/252_29_L_20230824_M_74809-left.mp4
